problem,algorithm,runtime,cost,route
barachet10,concorde,0.00678,378,[0 6 5 7 8 9 4 3 2 1 0]
barachet10,bf,0.90128,378,[0 1 2 3 4 9 8 7 5 6 0]
barachet10,hk,0.04716,378,[0 6 5 7 8 9 4 3 2 1 0]
barachet10,as,0.13257,387,[1 0 9 8 4 3 2 5 7 6 1]
barachet10,mmas,1.2711,3078,[4 3 2 1 0 6 5 7 8 9 4]
barachet10,q,0.47635,437,[0 1 2 5 3 4 8 7 6 9 0]
barachet10,q,2.72734,425,[0 1 2 3 4 8 5 7 6 9 0]
gr17,concorde,0.01118,2085
gr17,hk,40.12613,2085
gr17,as,1.02849,2178,
p12,bf,2180.72205
p12,concorde,0.0063
fri26,concorde,0.01049,937,[ 0  1  2  3  5  4  6  7  8  9 13 14 11 12 10 15 18 19 17 16 20 21 25 22 23 24 0]
fri26,as,5.18662,962,[ 2 13 14 12 11 10  9  8  6  7 15 18 19 17 16 20 21 25 22 23 24  0  1  3 4  5  2]
fri26,mmas,90.83197,955,[ 0  1  2  3  4  5  6  7  8  9 13 14 12 10 11 15 18 19 17 16 20 21 25 22 23 24 0]
fri26,q,1.94087,1272,[ 0 13 14 12 10  9  8  6  4  5  3  1  2 11 15 18 19 17 16 20 25 21 24 22 23  7  0]
fri26,dq,16.62944,1248,[ 0  6  8 13 14 12 11 10  9  2  1  3  4  5  7 18 19 17 16 20 25 21 22 23 24 15  0]
berlin52,concorde,0.06429,7542,[ 0 48 31 44 18 40  7  8  9 42 32 50 10 51 13 12 46 25 26 27 11 24  3  5 14  4 23 47 37 36 39 38 35 34 33 43 45 15 28 49 19 22 29  1  6 41 20 16 2 17 30 21  0]
berlin52,mmas,1235.35666,8092,[44 34 35 36 39 40 38 37 48 24  5 15  6  4 25 12 28 27 26 47 13 14 52 11 51 33 43 10  9  8 41 19 45 32 49  1 22 31 18  3 17 21 23 20 50 16 29 30 42  7  2 46 44]
berlin52,q,6.23241,11099, [ 1 22 35 36 34 39 40 38 48 24  5  6 15  4 25 46 44 49 32 45 19 41  8 10 9 43  7  2 42 30 23 50 20 16 29 31 18  3 17 21 14 13 27 26 47 28 12 51 11 52 33 37  1]
berlin52,dq,132.98478,10931,[ 1 22 32 49 35 36 34 48 24  5 15  6  4 25 46 38 40 37 39 44 16 20 50 23 21 31 18  3 45 19 41  8  9 10 43 33 51 11  7  2 42 30 29 26 27 28 12 52 14 13 47 17  1]
brazil58,concorde,0.06058,25395,[ 0 29 12 39 24  8 31 19 52 49  3  7 21 15 41 37 30  6 10 38 20 35 16 25 18  5 27 13 36 14 33 45 55 44 32 28  2 47 54 53  1 40 34  9 51 50 46 48 42 26 11 56 22  4 57 23 43 17  0]
brazil58,q,6.70011,38284,[ 0 29 12 39  8 24 31 19 17 43 23 57  4 22 42 11 26 48 46 50  9 34 51  2 28 35 16 25  5 18 27 13 32 44 45 33 36 55 20 47  1 40 53 54 21  7 56 49 52  3 41 37 30  6 10 38 15 14  0]
brazil58,dq,111.50194,36757,[ 0 43 17 57 23 56 11 26 42  4 22 53 54  1 40  9 51 50 48 46 34  2 47 28 35 16 25  5 18 27 13 36 44 33 45 55 14 12 39  8 24 31 19 52 49  3 21  7 15 10 20 38 32 30  6 37 41 29  0]
